root - INFO - 2023-03-03 09:16:39.172567 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-03-03 09:16:39.238552 - OMS Backend mainloop started.
root - INFO - 2023-03-03 09:16:42.503290 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-03-03 09:16:49.064181 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-03-03 09:16:49.468059 - Attempting XTS login.
root - INFO - 2023-03-03 09:16:49.586859 - ODIN login for NB01.
root - INFO - 2023-03-03 09:16:50.241283 - ODIN login succesful for NB01.
root - INFO - 2023-03-03 09:16:50.311650 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-03-03 09:16:56.215220 - OMSB: Zerodha login succesful for WG5235.
root - CRITICAL - CRITICAL ERROR:2023-03-03 09:17:01.149082 - Failed to place Zerodha Kite options order. User: FINVANT_LIVE. Tradingsymbol:NIFTY2330917400CE. QTY:50 .
['Traceback (most recent call last):', '  File "/home/ubuntu/Backend/Scripts/OrderPlacement.py", line 89, in placeOrder', "    log_interface.postLog(severity='INFO',message='Placed Zerodha Kite options order for:{}, instrument:{}, qty:{}, transaction type:{}, placed price:{}, id:{}.'.format(username,tradingsymbol,qty*lot_size, transaction_type,placed_price, order_id), publish=1)", "UnboundLocalError: local variable 'placed_price' referenced before assignment"]
root - CRITICAL - CRITICAL ERROR:2023-03-03 09:17:01.231153 - Failed to update order placement in DB. User: FINVANT_LIVE. Tradingsymbol:NIFTY2330917400CE. QTY:50.
['Traceback (most recent call last):', '  File "/home/ubuntu/Backend/Scripts/OrderPlacement.py", line 124, in placeOrder', '    update_order_placement(username=username,tradingsymbol=tradingsymbol,placed_qty=qty,placed_price=placed_price, spread_list=spread_list, debug=debug) # If this fails, infinite order placement -> stop this thread + critical user message', '  File "/home/ubuntu/Backend/Scripts/DBManager.py", line 439, in update_order_placement', '    update_orderbuffer(username=username,tradingsymbol=tradingsymbol,placed_qty=placed_qty,placed_price=placed_price,cur=cur, spread_list= spread_list, debug=debug)', '  File "/home/ubuntu/Backend/Scripts/DBManager.py", line 377, in update_orderbuffer', '    update_order_reference(username=username, position_list=positions_list, placed_price=new_placement_price,order_completion=order_completion,cur=cur, spread_list=spread_list, rollover = rollover, debug=debug)', '  File "/home/ubuntu/Backend/Scripts/DBManager.py", line 400, in update_order_reference', "    order_id = list(cur.execute('SELECT order_id FROM orderbook WHERE username={} AND strategy_name={} AND position={} AND instrument_nomenclature={};'.format(gSF(username),gSF(strategy_name),gSF(traded_position),gSF(instrument_nomenclature))).fetchall()[0])[0]", 'IndexError: list index out of range']
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
