,Datetime,Open,High,Low,Close
0,2023-03-24 09:05:00,39555.25,39555.25,39555.25,39555.25
1,2023-03-24 09:15:00,39555.25,39669.95,39472.9,39594.25
2,2023-03-24 09:20:00,39589.95,39591.0,39462.65,39514.7
3,2023-03-24 09:25:00,39514.4,39529.8,39429.5,39500.3
4,2023-03-24 09:30:00,39499.0,39533.55,39439.55,39507.85
5,2023-03-24 09:35:00,39505.7,39619.35,39504.75,39539.35
6,2023-03-24 09:40:00,39538.15,39643.75,39537.6,39566.45
7,2023-03-24 09:45:00,39568.8,39655.3,39542.3,39622.05
8,2023-03-24 09:50:00,39615.45,39636.3,39548.4,39627.4
9,2023-03-24 09:55:00,39628.6,39637.4,39564.05,39582.95
10,2023-03-24 10:00:00,39583.6,39592.4,39489.2,39500.5
11,2023-03-24 10:05:00,39505.15,39548.7,39475.3,39495.45
12,2023-03-24 10:10:00,39494.5,39557.25,39462.2,39553.9
13,2023-03-24 10:15:00,39555.75,39639.3,39554.15,39565.65
14,2023-03-24 10:20:00,39570.45,39626.5,39556.65,39572.95
15,2023-03-24 10:25:00,39570.5,39573.1,39510.4,39523.2
16,2023-03-24 10:30:00,39524.1,39574.9,39492.0,39574.55
17,2023-03-24 10:35:00,39573.75,39578.75,39526.0,39543.3
18,2023-03-24 10:40:00,39542.5,39562.4,39509.9,39515.75
19,2023-03-24 10:45:00,39511.6,39528.3,39476.1,39528.3
20,2023-03-24 10:50:00,39526.0,39565.25,39493.4,39565.25
21,2023-03-24 10:55:00,39564.8,39567.15,39506.65,39508.0
22,2023-03-24 11:00:00,39507.2,39581.55,39504.85,39563.25
23,2023-03-24 11:05:00,39564.0,39584.55,39559.15,39559.65
24,2023-03-24 11:10:00,39560.2,39634.85,39558.25,39623.95
25,2023-03-24 11:15:00,39629.75,39694.75,39626.6,39632.0
26,2023-03-24 11:20:00,39631.65,39674.3,39606.7,39653.2
27,2023-03-24 11:25:00,39652.05,39662.1,39621.9,39622.95
28,2023-03-24 11:30:00,39624.65,39650.75,39590.7,39650.75
29,2023-03-24 11:35:00,39648.1,39695.45,39630.5,39695.45
30,2023-03-24 11:40:00,39700.8,39731.75,39695.35,39725.55
31,2023-03-24 11:45:00,39728.5,39741.7,39683.15,39686.25
32,2023-03-24 11:50:00,39693.6,39721.15,39658.65,39710.1
33,2023-03-24 11:55:00,39711.0,39766.4,39711.0,39725.95
34,2023-03-24 12:00:00,39731.95,39741.1,39668.1,39720.5
35,2023-03-24 12:05:00,39721.25,39728.9,39682.6,39691.15
36,2023-03-24 12:10:00,39692.8,39734.95,39683.25,39723.7
37,2023-03-24 12:15:00,39724.8,39751.55,39712.8,39747.95
38,2023-03-24 12:20:00,39748.4,39767.35,39715.55,39749.75
39,2023-03-24 12:25:00,39749.25,39767.9,39685.85,39701.2
40,2023-03-24 12:30:00,39696.65,39730.9,39653.15,39667.15
41,2023-03-24 12:35:00,39666.65,39674.65,39599.85,39608.85
42,2023-03-24 12:40:00,39606.85,39631.95,39562.6,39608.9
43,2023-03-24 12:45:00,39613.4,39633.8,39567.65,39575.65
44,2023-03-24 12:50:00,39577.0,39596.95,39525.75,39576.8
45,2023-03-24 12:55:00,39576.8,39620.55,39561.65,39568.05
46,2023-03-24 13:00:00,39571.95,39627.2,39568.5,39626.25
47,2023-03-24 13:05:00,39626.65,39688.25,39626.25,39657.0
